34.234.26.211	34.224.0.0/12	AMAZON-AES, US	ec2-34-234-26-211.compute-1.amazonaws.com.
52.72.152.43	52.72.0.0/15	AMAZON-AES, US	ec2-52-72-152-43.compute-1.amazonaws.com.
173.193.132.92	173.193.128.0/18	SOFTLAYER, US	5c.84.c1ad.ip4.static.sl-reverse.com.
167.89.1.233	167.89.0.0/18	SENDGRID, US	o10.mailings-q.law360.com.
167.89.127.88	167.89.126.0/23	SENDGRID, US	o6.mailings-news.law360.com.
167.89.127.238	167.89.126.0/23	SENDGRID, US	o7.mailings-news-alt.law360.com.
198.21.1.85	198.21.0.0/21	SENDGRID, US	o8.mailings-svc.law360.com.
128.136.37.0	128.136.32.0/20	PEAK10, US	0.37.136.128.in-addr.arpa
66.179.147.160	66.179.0.0/16	SRS-6-Z-7381, US	160.147.179.66.in-addr.arpa
66.179.102.0	66.179.0.0/16	SRS-6-Z-7381, US	0.102.179.66.in-addr.arpa
66.179.68.0	66.179.0.0/16	SRS-6-Z-7381, US	0.68.179.66.in-addr.arpa
205.201.128.0	205.201.128.0/21	THEROCKETSCIENCEGROUP, US	0.128.201.205.in-addr.arpa
198.2.128.0	198.2.128.0/19	THEROCKETSCIENCEGROUP, US	mail128-0.atl41.mandrillapp.com.
173.193.132.85	173.193.128.0/18	SOFTLAYER, US	55.84.c1ad.ip4.static.sl-reverse.com.
173.193.132.91	173.193.128.0/18	SOFTLAYER, US	5b.84.c1ad.ip4.static.sl-reverse.com.
146.20.91.152	146.20.0.0/16	RACKSPACE, US	web.q4press.com.
146.20.91.153	146.20.0.0/16	RACKSPACE, US	web.q4press.com.
66.231.83.109	66.231.83.0/24	EXACT-7, US	ag109.mta.exacttarget.com.
66.231.83.112	66.231.83.0/24	EXACT-7, US	ag112.mta.exacttarget.com.
66.231.85.126	66.231.85.0/24	EXACT-7, US	ai126.mta.exacttarget.com.
66.231.92.112	66.231.92.0/24	EXACT-7, US	mta.goview.accenture.com.
35.168.204.221	35.168.0.0/13	AMAZON-AES, US	ec2-35-168-204-221.compute-1.amazonaws.com.
168.245.35.88	168.245.0.0/18	SENDGRID, US	o1.at.groupmap.com.
54.250.53.130	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-130.ap-northeast-1.compute.amazonaws.com.
54.250.53.131	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-131.ap-northeast-1.compute.amazonaws.com.
54.250.53.132	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-132.ap-northeast-1.compute.amazonaws.com.
54.250.53.133	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-133.ap-northeast-1.compute.amazonaws.com.
54.250.53.134	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-134.ap-northeast-1.compute.amazonaws.com.
54.250.53.135	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-135.ap-northeast-1.compute.amazonaws.com.
54.250.53.136	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-136.ap-northeast-1.compute.amazonaws.com.
54.250.53.137	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-137.ap-northeast-1.compute.amazonaws.com.
54.250.53.138	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-138.ap-northeast-1.compute.amazonaws.com.
54.250.53.139	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-139.ap-northeast-1.compute.amazonaws.com.
54.250.53.140	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-140.ap-northeast-1.compute.amazonaws.com.
54.250.53.141	54.250.0.0/17	AMAZON-02, US	ec2-54-250-53-141.ap-northeast-1.compute.amazonaws.com.
54.240.61.19	54.240.60.0/22	AMAZON-02, US	a61-19.smtp-out.us-west-2.amazonses.com.
54.240.61.20	54.240.60.0/22	AMAZON-02, US	a61-20.smtp-out.us-west-2.amazonses.com.
54.240.61.21	54.240.60.0/22	AMAZON-02, US	a61-21.smtp-out.us-west-2.amazonses.com.
54.240.61.22	54.240.60.0/22	AMAZON-02, US	a61-22.smtp-out.us-west-2.amazonses.com.
